id,domain,question,expected_intent,predicted_intent,intent_correct,expected_plan,predicted_plan,retrieval_plan_correct,has_enough_evidence,citation_check_passed,has_final_answer,final_answer_preview
lab_004,labour,What are the main rules about service books under sections 6 to 8?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 11-12, chunk eval_lab_004 — retrieved as relevant context for the answer."
lab_005,labour,What compensation is available for laid-off workers under section 16?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 15-16, chunk eval_lab_005 — retrieved as relevant context for the answer."
lab_006,labour,What must an employer do when retrenching a worker under section 20?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 16-17, chunk eval_lab_006 — retrieved as relevant context for the answer."
lab_007,labour,What acts are treated as misconduct under section 23?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 17-18, chunk eval_lab_007 — retrieved as relevant context for the answer."
lab_008,labour,What procedure must be followed before punishing a worker under section 24?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 18, chunk eval_lab_008 — retrieved as relevant context for the answer."
lab_009,labour,What notice is required for termination by an employer under section 26?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 19, chunk eval_lab_009 — retrieved as relevant context for the answer."
lab_010,labour,What maternity benefits are provided under sections 45 to 50?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 26-28, chunk eval_lab_010 — retrieved as relevant context for the answer."
lab_011,labour,What restrictions apply to employment of children and adolescents?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 23-24, chunk eval_lab_011 — retrieved as relevant context for the answer."
lab_012,labour,What health and hygiene obligations are imposed on establishments under the Labour Act?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 29-30, chunk eval_lab_012 — retrieved as relevant context for the answer."
comp_001,companies,What is the purpose of the Companies Act 1994?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh COMPANIES ACT.pdf**, page 1, chunk eval_comp_001 — retrieved as relevant context for the answer."
comp_002,companies,How does the Companies Act define a private company?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh COMPANIES ACT.pdf**, page 3, chunk eval_comp_002 — retrieved as relevant context for the answer."
comp_003,companies,What is a public company under the Companies Act?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh COMPANIES ACT.pdf**, page 3, chunk eval_comp_003 — retrieved as relevant context for the answer."
comp_004,companies,What does section 5 say about forming an incorporated company?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh COMPANIES ACT.pdf**, page 6, chunk eval_comp_004 — retrieved as relevant context for the answer."
comp_005,companies,What must the memorandum of a company limited by shares state?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh COMPANIES ACT.pdf**, page 7, chunk eval_comp_005 — retrieved as relevant context for the answer."
comp_006,companies,What restrictions apply to altering a company's memorandum under section 12?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh COMPANIES ACT.pdf**, page 10-11, chunk eval_comp_006 — retrieved as relevant context for the answer."
comp_007,companies,What is the effect of registration of a company under section 24?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh COMPANIES ACT.pdf**, page 13-14, chunk eval_comp_007 — retrieved as relevant context for the answer."
comp_008,companies,What must every company keep in its register of members under section 34?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh COMPANIES ACT.pdf**, page 17, chunk eval_comp_008 — retrieved as relevant context for the answer."
comp_009,companies,What are the rules about annual general meetings under section 81?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh COMPANIES ACT.pdf**, page 34, chunk eval_comp_009 — retrieved as relevant context for the answer."
comp_010,companies,When must a statutory meeting be held under section 83?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh COMPANIES ACT.pdf**, page 35-36, chunk eval_comp_010 — retrieved as relevant context for the answer."
comp_011,companies,What does section 84 say about calling an extraordinary general meeting on requisition?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh COMPANIES ACT.pdf**, page 37, chunk eval_comp_011 — retrieved as relevant context for the answer."
comp_012,companies,What notice is required for company meetings under section 85?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,1.0,0.0,1.0,"Fake answer for deterministic evaluation.<sup>[1]</sup>  ### Sources - Fake source   **Sources**  - **[1] Bangladesh COMPANIES ACT.pdf**, page 37-38, chunk eval_comp_012 — retrieved as relevant context for the answer."
beh_001,behavior,Hello Lawverse,greeting,greeting,1.0,no_retrieval,no_retrieval,1.0,0.0,1.0,1.0,Hello! I can help you ask questions about Bangladeshi legal documents and show sources when I use retrieved context.
beh_002,behavior,"Thank you, bye",closing,closing,1.0,no_retrieval,no_retrieval,1.0,0.0,1.0,1.0,You're welcome. Ask another legal-document question whenever you need help.
beh_003,behavior,What is the best gaming laptop under budget?,non_legal,legal_question,0.0,no_retrieval,hybrid_dense_sparse_rerank,0.0,0.0,1.0,1.0,I could not find enough information in the uploaded legal documents to answer this safely.
beh_004,behavior,What is the exact law for a topic not present in the uploaded documents?,legal_question,legal_question,1.0,hybrid_dense_sparse_rerank,hybrid_dense_sparse_rerank,1.0,0.0,1.0,1.0,I could not find enough information in the uploaded legal documents to answer this safely.
