id,domain,question,status,latency_ms,answer_keyword_score,expected_keyword_coverage,forbidden_content_score,has_sources,has_disclaimer,evidence_score,has_enough_evidence,citation_check_passed,answer_preview,error
dsa_011,digital_security,What is the offence and punishment for publishing defamatory information electronically under section 29?,live,10239.87,1.0,0.8889,1.0,1.0,0.0,0.875,1.0,1.0,"Under section 29 of the Digital Security Act, 2018, the offense involves publishing or broadcasting defamatory information, as described in section 499 of the Penal Code (Act XLV of 1860), on any website or in any other electronic format<sup>[1]</sup>.  The punishment for this offense is as follows: *   For the first commission of the offense, the person will be sentenced to imprisonment not exceeding 3 (three) years or a fine not exceeding Tk. 5 (five) lac, or both<sup>[1]</sup>. *   If the per",
dsa_012,digital_security,What is hacking under section 34 and what punishment can it carry?,live,8467.78,0.5,0.6667,1.0,1.0,0.0,1.0,1.0,1.0,"""Hacking"" is defined as: a. Destroying, changing, formatting, canceling any information in compute data storage, reducing its value or suitability, or damaging it in any other way<sup>[3]</sup>. b. Illegally entering and damaging any computer, server, computer network, or any electric system without ownership or possession<sup>[3]</sup>.  If a person commits this offence a second time or repeatedly, they may be penalized with life imprisonment, a fine not exceeding Tk. 5 (Five) Crore, or both<su",
lab_001,labour,What is the purpose of the Bangladesh Labour Act 2006?,live,7663.63,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,"The Bangladesh Labour Act, 2006 was enacted to amend and consolidate laws concerning various aspects of worker employment. Its purpose includes regulating the employment of workers, the relationship between workers and employers, and the determination and payment of minimum wages. The Act also addresses compensation for worker injuries sustained during working hours, the formation of trade unions, and the resolution of industrial disputes. Furthermore, it covers aspects related to the health, sa",
lab_002,labour,How are workers classified under section 4 of the Bangladesh Labour Act?,live,7285.66,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,"I could not find enough information in the uploaded legal documents to answer this safely.<sup>[1]</sup>   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 25, chunk 718 — retrieved as relevant context for the answer.",
lab_003,labour,What does section 5 require before employing a worker?,live,6053.03,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,"I could not find enough information in the uploaded legal documents to answer this safely.<sup>[1]</sup>   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 11, chunk 669 — retrieved as relevant context for the answer.",
lab_004,labour,What are the main rules about service books under sections 6 to 8?,live,6238.05,0.0,0.0,1.0,1.0,0.0,0.8,1.0,0.0,"I could not find enough information in the uploaded legal documents to answer this safely.<sup>[1]</sup>   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 10, chunk 663 — retrieved as relevant context for the answer.",
lab_005,labour,What compensation is available for laid-off workers under section 16?,live,9080.05,1.0,0.5,1.0,1.0,0.0,0.8333,1.0,1.0,"Under Section 16(1) of the Bangladesh Labour Act, a worker who is laid off is entitled to compensation<sup>[2]</sup>. This applies to workers whose names are on the establishment's muster-rolls, excluding substitute or casual workers, and who have completed at least one year of service under the employer<sup>[2]</sup>. The employer must pay compensation for all days the worker is laid-off, except for weekly holidays<sup>[2]</sup>.  However, certain conditions exist where laid-off workers are not",
lab_006,labour,What must an employer do when retrenching a worker under section 20?,live,17150.29,0.0,0.1429,1.0,1.0,0.0,0.8,1.0,1.0,"The uploaded documents do not contain enough information to fully answer what an employer must do when retrenching a worker under section 20, as the relevant section is incomplete<sup>[3]</sup>.  However, based on the provided text: An employer may retrench any worker from service on the ground of redundancy<sup>[3]</sup>. In the absence of any agreement between the employer and the worker, the employer must retrench the worker who was the last person to be employed in that category<sup>[1]</sup",
lab_007,labour,What acts are treated as misconduct under section 23?,live,14069.05,1.0,0.7778,1.0,1.0,0.0,1.0,1.0,1.0,"Section 23 of the Bangladesh Labour Act, 2006, as presented in the context, outlines the punishment for misconduct and conviction. It states that a worker may be dismissed if found guilty of misconduct *under section 24*<sup>[2]</sup>.  The acts that are treated as misconduct are described elsewhere, specifically under sub-section (4), and include: *   Wilful disobedience, whether alone or in combination with others, to any lawful or reasonable order of a superior<sup>[1]</sup>. *   Theft, misap",
lab_008,labour,What procedure must be followed before punishing a worker under section 24?,live,11171.75,0.0,0.1429,1.0,1.0,0.0,0.8,1.0,0.0,"The uploaded documents do not contain enough information to describe the procedure that must be followed before punishing a worker under section 24. The provided text outlines what constitutes misconduct and the powers and procedures of a Labour Court for various matters, but does not detail the specific steps an employer must take before punishing a worker under that section <sup>[1, 2]</sup>.<sup>[1]</sup>   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 18, chunk 693 — retrieved ",
lab_009,labour,What notice is required for termination by an employer under section 26?,live,9765.65,0.0,0.25,1.0,1.0,0.0,0.8333,1.0,1.0,"The provided documents do not contain enough information regarding the specific notice required for termination by an employer under section 26<sup>[1]</sup>. While the context indicates that termination of a permanent worker under this section involves compensation and that notice is relevant, it does not specify the details of the notice an employer must provide<sup>[1]</sup>.   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 19, chunk 700 — retrieved as relevant context for the an",
lab_010,labour,What maternity benefits are provided under sections 45 to 50?,live,11595.89,1.0,0.5714,1.0,1.0,0.0,0.6667,1.0,1.0,"Under the provided sections of the Bangladesh Labour Act, 2018, maternity benefits and related procedures are outlined as follows:  *   **Section 46 (2):** Maternity benefit is not payable if a woman has two or more surviving children at the time of delivery, although she may still take any leave due to her<sup>[2]</sup>. *   **Section 47: Procedure regarding payment of maternity benefit**     A pregnant woman entitled to maternity benefit must notify her employer, orally or in writing, that she",
lab_011,labour,What restrictions apply to employment of children and adolescents?,live,13151.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,"Children are prohibited from being employed or permitted to work in any occupation or establishment<sup>[1]</sup>. Furthermore, a child's parent or guardian is restricted from making an agreement that allows the child to be appointed for any work<sup>[3]</sup>.  For adolescents, employment is generally restricted unless specific conditions are met: *   A certificate of fitness, issued by a registered medical practitioner, must be held by the employer<sup>[1]</sup>. *   The adolescent must carry ",
lab_012,labour,What health and hygiene obligations are imposed on establishments under the Labour Act?,live,10348.1,0.5,0.375,1.0,1.0,0.0,0.75,1.0,1.0,"Under the Labour Act, establishments have several health and hygiene obligations, particularly regarding cleanliness<sup>[2]</sup>.  Specific cleanliness requirements include: *   Keeping every establishment clean and free from effluvia originating from drains, privies, or other nuisances<sup>[2]</sup>. *   Daily removal of dirt and refuse by sweeping floors, work-rooms, staircases, and passages<sup>[2]</sup>. *   Washing the floor of every work-room at least once a week, using disinfectant if n",
comp_001,companies,What is the purpose of the Companies Act 1994?,live,5282.9,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,"The Companies Act, 1994 aims to consolidate and amend the law relating to companies and certain other associations<sup>[1]</sup>.   **Sources**  - **[1] Bangladesh%20COMPANIES%20ACT.pdf**, page 1, chunk 70 — retrieved as relevant context for the answer.",
comp_002,companies,How does the Companies Act define a private company?,live,10398.75,0.0,0.4286,1.0,1.0,0.0,1.0,1.0,1.0,"The provided documents indicate that certain provisions are required to be included in a company's articles of association, as per clause of sub-section (1) of section 2 of the Companies Act, in order to constitute it as a private company<sup>[3]</sup>. The context also mentions that a private company converting into a public company would have at least seven members<sup>[3]</sup>. However, the specific details of these provisions defining a private company are not elaborated in the retrieved in",
comp_003,companies,What is a public company under the Companies Act?,live,7874.15,0.0,0.0,1.0,1.0,0.0,0.8333,1.0,0.0,"I could not find enough information in the uploaded legal documents to answer this safely.<sup>[1]</sup>   **Sources**  - **[1] Bangladesh-Labour-Act-2018.pdf**, page 101, chunk 992 — retrieved as relevant context for the answer.",
comp_004,companies,What does section 5 say about forming an incorporated company?,live,7275.4,1.0,1.0,1.0,1.0,0.0,0.8333,1.0,1.0,"Section 5 of the Act outlines the mode of forming an incorporated company. It states that any seven or more persons, or in the case of a private company, any two or more persons, who are associated for a lawful purpose, may form an incorporated company. This is done by subscribing their names to a memorandum of association and complying with the other requirements of the Act regarding registration<sup>[1]</sup>.  An incorporated company can be formed with or without limited liability, meaning it",
comp_005,companies,What must the memorandum of a company limited by shares state?,live,8760.58,1.0,0.8889,1.0,1.0,0.0,0.8571,1.0,1.0,"In the case of a company limited by shares, the memorandum must state the following: *   The name of the company, with ""limited"" as the last word in its name<sup>[1]</sup>. *   The address of the registered office<sup>[1]</sup>. *   The objects of the company, and, except for trading companies, the territories to which these objects extend<sup>[1]</sup>. *   That the liability of the members is limited<sup>[1]</sup>. *   The amount of share capital with which the company proposes to be registere",
comp_006,companies,What restrictions apply to altering a company's memorandum under section 12?,live,7793.56,0.0,0.1429,1.0,1.0,0.0,0.6667,1.0,1.0,"The uploaded documents do not contain enough information about restrictions on altering a company's memorandum specifically under section 12. The retrieved context discusses general provisions for altering the memorandum and other constitutional documents, including those for companies registered under a deed of settlement, and provisions related to company names, but does not provide details specific to section 12 regarding restrictions on memorandum alteration <sup>[1],<sup>[2]</sup>, [3]</sup",
comp_007,companies,What is the effect of registration of a company under section 24?,live,6355.89,0.5,0.3333,1.0,1.0,0.0,1.0,1.0,1.0,"Upon the registration of a company's memorandum under section 24, the Registrar issues a certificate confirming that the company is incorporated, and in the case of a limited company, that it is limited<sup>[1]</sup>. From the date specified in this certificate of incorporation, the memorandum's subscribers, along with any subsequent members, collectively form a body corporate using the name stated in the memorandum. This body corporate is immediately empowered to carry out all the functions of ",
comp_008,companies,What must every company keep in its register of members under section 34?,live,8821.15,0.5,0.125,1.0,1.0,0.0,0.8571,1.0,1.0,"The uploaded documents do not contain enough information to answer what every company must keep in its register of members under section 34. The only mention of section 34 is in the context of the Bangladesh Labour Act, 2006, which deals with restrictions on the employment of children and adolescents<sup>[3]</sup>.   **Sources**  - **[3] Bangladesh-Labour-Act-2018.pdf**, page 23, chunk 710 — retrieved as relevant context for the answer.",
comp_009,companies,What are the rules about annual general meetings under section 81?,live,8809.84,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,"I could not find enough information in the uploaded legal documents to answer this safely.<sup>[1]</sup>   **Sources**  - **[1] Bangladesh%20COMPANIES%20ACT.pdf**, page 34, chunk 168 — retrieved as relevant context for the answer.",
comp_010,companies,When must a statutory meeting be held under section 83?,live,5900.68,0.0,0.0,1.0,1.0,0.0,0.8333,1.0,0.0,"I could not find enough information in the uploaded legal documents to answer this safely.<sup>[1]</sup>   **Sources**  - **[1] Bangladesh%20COMPANIES%20ACT.pdf**, page 90, chunk 345 — retrieved as relevant context for the answer.",
comp_011,companies,What does section 84 say about calling an extraordinary general meeting on requisition?,live,6144.58,0.0,0.0,1.0,1.0,0.0,0.75,1.0,0.0,"I could not find enough information in the uploaded legal documents to answer this safely.<sup>[1]</sup>   **Sources**  - **[1] Bangladesh%20COMPANIES%20ACT.pdf**, page 37, chunk 176 — retrieved as relevant context for the answer.",
comp_012,companies,What notice is required for company meetings under section 85?,live,7880.07,1.0,0.8571,1.0,1.0,0.0,1.0,1.0,1.0,"Under section 85, an annual general meeting of a company may be called by fourteen days' notice in writing. For a meeting other than an annual general meeting or a meeting for the passing of a special resolution, twenty-one days' notice in writing is required. However, a meeting may be called by shorter notice if it is agreed upon in writing<sup>[2]</sup>.   **Sources**  - **[2] Bangladesh%20COMPANIES%20ACT.pdf**, page 37, chunk 178 — retrieved as relevant context for the answer.",
