id,domain,question,num_docs,latency_ms,keyword_recall,top_source,top_score,hit@1,precision@1,mrr@1,ndcg@1,hit@3,precision@3,mrr@3,ndcg@3,hit@5,precision@5,mrr@5,ndcg@5,hit@10,precision@10,mrr@10,ndcg@10
dsa_011,digital_security,What is the offence and punishment for publishing defamatory information electronically under section 29?,10,2744.48,1.0,/tmp/lawverse_data/raw/Digital-Security-Act-2018.pdf,4.575193881988525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8847,1.0,1.0,1.0,0.9123,1.0,1.0,1.0,0.9731
dsa_012,digital_security,What is hacking under section 34 and what punishment can it carry?,10,2504.16,1.0,/tmp/lawverse_data/raw/Digital-Security-Act-2018.pdf,2.079364061355591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9448,1.0,1.0,1.0,0.9601,1.0,1.0,1.0,0.9885
lab_001,labour,What is the purpose of the Bangladesh Labour Act 2006?,10,2595.63,1.0,/tmp/lawverse_data/raw/Bangladesh-Labour-Act-2018.pdf,8.018094062805176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lab_002,labour,How are workers classified under section 4 of the Bangladesh Labour Act?,10,3001.72,1.0,/tmp/lawverse_data/raw/Bangladesh-Labour-Act-2018.pdf,5.802627086639404,1.0,1.0,1.0,0.85,1.0,1.0,1.0,0.9235,1.0,1.0,1.0,0.9435,1.0,1.0,1.0,0.9739
lab_003,labour,What does section 5 require before employing a worker?,10,3024.97,0.5,/tmp/lawverse_data/raw/Bangladesh-Labour-Act-2018.pdf,2.648653507232666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lab_004,labour,What are the main rules about service books under sections 6 to 8?,10,3073.35,0.5,/tmp/lawverse_data/raw/Bangladesh-Labour-Act-2018.pdf,0.5437946319580078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lab_005,labour,What compensation is available for laid-off workers under section 16?,10,2734.7,1.0,/tmp/lawverse_data/raw/Bangladesh-Labour-Act-2018.pdf,3.8692164421081543,1.0,1.0,1.0,0.85,1.0,1.0,1.0,0.9235,1.0,1.0,1.0,0.9533,1.0,1.0,1.0,0.9761
lab_006,labour,What must an employer do when retrenching a worker under section 20?,10,2957.82,0.8571,/tmp/lawverse_data/raw/Bangladesh-Labour-Act-2018.pdf,4.006555080413818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lab_007,labour,What acts are treated as misconduct under section 23?,10,2652.1,1.0,/tmp/lawverse_data/raw/Bangladesh-Labour-Act-2018.pdf,5.020007133483887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lab_008,labour,What procedure must be followed before punishing a worker under section 24?,10,3031.66,0.8571,/tmp/lawverse_data/raw/Bangladesh-Labour-Act-2018.pdf,1.5440623760223389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9306,1.0,1.0,1.0,0.9155,1.0,1.0,1.0,0.9765
lab_009,labour,What notice is required for termination by an employer under section 26?,10,2725.76,1.0,/tmp/lawverse_data/raw/Bangladesh-Labour-Act-2018.pdf,4.604712009429932,1.0,1.0,1.0,0.8571,1.0,1.0,1.0,0.9319,1.0,1.0,1.0,0.9549,1.0,1.0,1.0,0.9769
lab_010,labour,What maternity benefits are provided under sections 45 to 50?,10,2696.67,1.0,/tmp/lawverse_data/raw/Bangladesh-Labour-Act-2018.pdf,1.392421841621399,1.0,1.0,1.0,0.7583,1.0,1.0,1.0,0.8039,1.0,1.0,1.0,0.8501,1.0,1.0,1.0,0.9373
lab_011,labour,What restrictions apply to employment of children and adolescents?,10,2950.83,1.0,/tmp/lawverse_data/raw/Bangladesh-Labour-Act-2018.pdf,8.065877914428711,1.0,1.0,1.0,0.7647,1.0,1.0,1.0,0.8738,1.0,1.0,1.0,0.9421,1.0,1.0,1.0,0.9611
lab_012,labour,What health and hygiene obligations are imposed on establishments under the Labour Act?,10,3220.31,0.625,/tmp/lawverse_data/raw/Bangladesh-Labour-Act-2018.pdf,2.763944625854492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
comp_001,companies,What is the purpose of the Companies Act 1994?,10,3112.55,1.0,/tmp/lawverse_data/raw/Bangladesh%20COMPANIES%20ACT.pdf,6.574726581573486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
comp_002,companies,How does the Companies Act define a private company?,10,2815.45,1.0,/tmp/lawverse_data/raw/Bangladesh%20COMPANIES%20ACT.pdf,1.917786955833435,1.0,1.0,1.0,0.85,1.0,1.0,1.0,0.9718,1.0,1.0,1.0,0.9792,1.0,1.0,1.0,0.9862
comp_003,companies,What is a public company under the Companies Act?,10,2534.78,1.0,/tmp/lawverse_data/raw/Bangladesh-Labour-Act-2018.pdf,3.2417213916778564,1.0,1.0,1.0,0.85,1.0,1.0,1.0,0.9618,1.0,1.0,1.0,0.9718,1.0,1.0,1.0,0.9813
comp_004,companies,What does section 5 say about forming an incorporated company?,10,2859.24,1.0,/tmp/lawverse_data/raw/Bangladesh%20COMPANIES%20ACT.pdf,3.552460193634033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
comp_005,companies,What must the memorandum of a company limited by shares state?,10,2669.98,1.0,/tmp/lawverse_data/raw/Bangladesh%20COMPANIES%20ACT.pdf,6.390739440917969,1.0,1.0,1.0,0.8889,1.0,1.0,1.0,0.9793,1.0,1.0,1.0,0.9847,1.0,1.0,1.0,0.9898
comp_006,companies,What restrictions apply to altering a company's memorandum under section 12?,10,3147.47,0.7143,/tmp/lawverse_data/raw/Bangladesh%20COMPANIES%20ACT.pdf,3.706264019012451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9448,1.0,1.0,1.0,0.9601,1.0,1.0,1.0,0.988
comp_007,companies,What is the effect of registration of a company under section 24?,10,2762.9,0.5,/tmp/lawverse_data/raw/Bangladesh%20COMPANIES%20ACT.pdf,6.650184631347656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8751,1.0,1.0,1.0,0.8754,1.0,1.0,1.0,0.964
comp_008,companies,What must every company keep in its register of members under section 34?,10,2706.17,1.0,/tmp/lawverse_data/raw/Bangladesh%20COMPANIES%20ACT.pdf,3.433128595352173,1.0,1.0,1.0,0.7429,1.0,1.0,1.0,0.8316,1.0,1.0,1.0,0.8604,1.0,1.0,1.0,0.9463
comp_009,companies,What are the rules about annual general meetings under section 81?,10,3129.29,1.0,/tmp/lawverse_data/raw/Bangladesh%20COMPANIES%20ACT.pdf,3.550645589828491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9691,1.0,1.0,1.0,0.993
comp_010,companies,When must a statutory meeting be held under section 83?,10,2864.33,1.0,/tmp/lawverse_data/raw/Bangladesh%20COMPANIES%20ACT.pdf,3.5207772254943848,1.0,1.0,1.0,0.7647,1.0,1.0,1.0,0.8896,1.0,1.0,1.0,0.8893,1.0,1.0,1.0,0.9606
comp_011,companies,What does section 84 say about calling an extraordinary general meeting on requisition?,10,3549.74,1.0,/tmp/lawverse_data/raw/Bangladesh%20COMPANIES%20ACT.pdf,5.136568069458008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,1.0,1.0,1.0,0.9729,1.0,1.0,1.0,0.9896
comp_012,companies,What notice is required for company meetings under section 85?,10,2661.12,1.0,/tmp/lawverse_data/raw/Bangladesh%20COMPANIES%20ACT.pdf,1.9602359533309937,1.0,1.0,1.0,0.65,1.0,1.0,1.0,0.7954,1.0,1.0,1.0,0.8198,1.0,1.0,1.0,0.9195
